Genes log2FoldChange
CLEC16A 1.1714053460642
C6 -1.42554877452125
PNKP 1.11726690978092
SPDL1 2.58063977684675
STAU2 1.03703277362583
PQLC2 1.13218569404976
CDH10 5.68369262882107
RAB27B 1.21228785227016
FAM65C -1.19144658085804
TDP1 1.08355796156004
AIFM2 1.46503834392784
CAPG 1.95596141122349
ADAM28 1.27857114260915
JADE2 1.39000893132799
ZIC2 7.38496916433134
GUCA2B 1.4418228580701
CUL7 1.84071185428966
CTNNA1 1.15488725553645
HSPA5 1.1092752262531
OFD1 1.30638131099941
MAGEC2 9.73446529820331
CTPS2 1.03106865885596
ATP6V1H 1.24370881393931
KIAA0556 1.57586842043301
DTNBP1 1.3026599474894
XK 1.70216619537552
ANO2 3.6385369272466
C12orf4 1.00314256671727
WWC3 1.20904953984389
ARHGAP6 1.12723394050801
FAM184B 1.06203642550399
MAP4 1.1019821419302
ROS1 3.49789166262344
TSPAN17 1.5076806201304
NOP16 1.04810211571256
SNX29 1.11499930318401
LMO3 1.83603646010337
R3HDM1 1.3475209577519
COL9A2 2.634412890137
KITLG 1.92695772198796
ADAMTS6 2.05699066810421
TNFRSF9 2.57043971387141
EPN3 2.59918037108617
ELN 1.17747926468062
RFC2 1.19776136636915
NEDD4L 1.49528418872849
PPP1R3F 1.21950050775604
HEXB 1.04496147655985
KIAA2022 1.88569010974179
DKK3 1.80002125554033
NFE2L3 1.84044871098693
MCUR1 1.01788542981445
SLC4A8 1.25048107249861
PTGER3 1.80934131922333
COL23A1 1.25422595756708
HOMER3 2.05295883527377
RAD51 3.12848112174167
POLQ 3.80729770231099
CYBA 1.35506501268225
THOC3 1.14961440582994
RRP12 1.35881332551028
ALX4 4.72575748364104
FSTL4 5.19669044303984
MRTO4 1.1110173778964
NNAT 1.7665829067196
MCF2L2 1.9549059929545
NRIP2 1.83401514338043
LAMA3 2.93334395090532
ANAPC4 1.22997086558503
KCNQ1 1.80830374470033
PHPT1 1.8633730985111
ENTPD2 2.43167102558142
ARID4B 1.25302329068273
PTPRN 3.32070446578725
HHAT 1.51944770571819
FOXC1 1.56893042873657
TBC1D22A 1.09573551529177
PLEKHH1 1.54193559554632
ATP9A 1.29445079006943
CBLN4 2.25063981113836
CHRDL2 1.30894782861968
FAM168A 1.05046694398848
NOP58 1.1264162374749
KCNH2 4.36975037101494
USP36 1.08916965872332
MCOLN3 3.53735303527135
CCDC85A 1.81267183356813
ZNF280C 1.37775538369604
NPFFR2 6.86836028488383
TRAF1 1.25756702218566
IL17RB 1.1975528582475
SERPINB3 5.34921949580586
MSH4 3.02940897168023
MTA3 1.49876287260575
LAMC2 1.53837725356535
SEC61A1 1.09349088809897
RASGRF1 4.66229042573702
CROCC 1.5122953396963
ATP2B4 1.14967825078806
NDC1 1.19940659064959
FLYWCH1 1.30735318010367
UNKL 1.39058221568963
ALDH18A1 1.11942199065213
TARBP1 2.50007272358
CCAR1 1.11413449277309
PTPRU 1.01297274897022
COL11A1 5.15589179560635
QSER1 1.07613153581243
BCAT1 2.51390619189776
HDAC7 1.45345712211082
LZTS1 2.09281577617156
PRDM6 1.1599555703761
SPAG4 2.08956327469026
SFSWAP 1.39090711046705
TNK2 1.01674878888685
CDH3 2.56473951260345
GPBP1 1.01634576903257
ZNF112 1.17653310137666
CS 1.41207618489034
c(\VMP1\, \MIR21\) 1.05595010681503
POLD1 2.04273906334755
SEZ6 7.08090164148385
GLTSCR1 1.28402510199471
RPL18 1.10595198765242
CA11 1.23898940449031
U2AF2 1.12848579455061
AHRR 1.66246587795099
ADCK1 1.28617250100694
CASP8 1.05657712150963
DLX3 3.17601937025383
SPA17 1.52953790055019
WISP2 -1.19587726810877
ATP2C2 1.92598535825416
NGFR -1.30432981161754
c(\BORCS8-MEF2B\, \BORCS8\) 1.21416684584798
RFXANK 1.79861329366165
TMEM161A 1.14072291313585
LPAR2 1.77035234938307
CTSA 1.58875923159759
SUGP2 1.61097883596587
ABCA7 1.61784099418102
SNCAIP 2.40037776297523
DDX20 1.05411372372416
BCAS1 3.20779454983548
CHI3L2 1.95918326541055
PMS1 1.13770618831251
CALCRL 1.13405181604577
TAF11 1.21545603023799
AP3D1 1.14213117015248
ZNF76 1.24540175264082
UHRF1BP1 1.2678039009672
GLP2R -1.40217999872496
MCM10 3.87091893296121
ERBB3 1.45806366002516
TBC1D22B 1.44499787282384
TMEM206 2.04755118756137
SNAP91 4.33251827664979
